customer,state,gender,education,customer_lifetime_value,income,monthly_premium_auto,number_of_open_complaints,policy_type,vehicle_class,total_claim_amount,vehicle_clas
RB50392,Washington,F,Master,7936,0,1000,0,Personal Auto,Four-Door Car,2,Four-Door Car
QZ44356,Arizona,F,Bachelor,6979,0,94,0,Personal Auto,Four-Door Car,1131,Four-Door Car
AI49188,Nevada,F,Bachelor,12887,48767,108,0,Personal Auto,Two-Door Car,566,Two-Door Car
WW63253,California,M,Bachelor,7645,0,106,0,Corporate Auto,SUV,529,SUV
GA49547,Washington,M,High School or Below,5363,36357,68,0,Personal Auto,Four-Door Car,17,Four-Door Car
OC83172,Oregon,F,Bachelor,8256,62902,69,0,Personal Auto,Two-Door Car,159,Two-Door Car
XZ87318,Oregon,F,College,5380,55350,67,0,Corporate Auto,Four-Door Car,321,Four-Door Car
CF85061,Arizona,M,Master,7216,0,101,0,Corporate Auto,Four-Door Car,363,Four-Door Car
DY87989,Oregon,M,Bachelor,24127,14072,71,0,Corporate Auto,Four-Door Car,511,Four-Door Car
BQ94931,Oregon,F,College,7388,28812,93,0,Special Auto,Four-Door Car,425,Four-Door Car
SX51350,California,M,College,4738,0,67,0,Personal Auto,Four-Door Car,482,Four-Door Car
VQ65197,California,F,College,8197,0,110,0,Personal Auto,SUV,528,SUV
DP39365,California,F,Master,8798,77026,110,2,Corporate Auto,Four-Door Car,472,Four-Door Car
SJ95423,Arizona,F,High School or Below,8819,99845,110,1,Corporate Auto,SUV,528,SUV
IL66569,California,F,College,5384,83689,70,2,Corporate Auto,Four-Door Car,307,Four-Door Car
BW63560,Oregon,F,Bachelor,7463,24599,64,1,Corporate Auto,Four-Door Car,42,Four-Door Car
FV94802,Nevada,F,High School or Below,2566,25049,67,0,Personal Auto,Two-Door Car,454,Two-Door Car
OE15005,California,F,College,3945,28855,101,0,Personal Auto,SUV,647,SUV
WC83389,Oregon,F,College,5710,51148,72,0,Personal Auto,Four-Door Car,308,Four-Door Car
FL50705,California,F,High School or Below,8162,66140,101,0,Corporate Auto,Four-Door Car,484,Four-Door Car
ZK25313,Oregon,F,High School or Below,2872,57749,74,0,Personal Auto,Two-Door Car,355,Two-Door Car
QK46697,Washington,M,Bachelor,6177,61040,79,1,Personal Auto,Two-Door Car,20,Two-Door Car
YH23384,Arizona,F,Bachelor,24127,14072,71,0,Personal Auto,Four-Door Car,511,Four-Door Car
TZ98966,Nevada,F,Bachelor,2450,0,73,3,Corporate Auto,Four-Door Car,554,Four-Door Car
HM55802,California,F,Bachelor,2392,17870,61,0,Corporate Auto,Four-Door Car,439,Four-Door Car
FS42516,Oregon,F,College,5802,97541,72,0,Personal Auto,Four-Door Car,389,Four-Door Car
US89481,California,F,Bachelor,3946,0,111,0,Personal Auto,Four-Door Car,799,Four-Door Car
HS14476,Washington,M,College,9162,29723,80,0,Personal Auto,Four-Door Car,20,Four-Door Car
GE62437,Arizona,F,College,12902,86584,111,2,Personal Auto,Four-Door Car,532,Four-Door Car
